PHYLUM	ORDER	GENUS	SPECIES	METHOD	1C in pg	1C in Mbp	x	FGSDID	SPECIMEN ID
Ascomycota	Botryosphaeriales	Phyllosticta	citrichinensis	CS	0.030	29.16		5966	CBS 130529 v1.0
Ascomycota	Capnodiales	Aulographum	hederae	CS	0.033	31.98		5209	CBS 113979 v1.0
Ascomycota	Capnodiales	Pseudovirgaria	hyperparasitica	CS	0.036	35.44		5412	CBS 121739 v1.0
Ascomycota	Dothideomycetes	Aeminium	ludgeri	CS	0.023	22.59		6013	DSM 106916 strain E14
Ascomycota	Eurotiales	Emericella	nidulans	Fe-IC	0.030	29.32		2792	FGSC A4
Ascomycota	Eurotiales	Emericella	nidulans	CS	0.031	30.16		4991	FGSC A4
Ascomycota	Eurotiales	Emericella	nidulans	CS	0.031	30.48		5245	from AspGD
Ascomycota	Eurotiales	Emericella	nidulans	CS	0.031	30.50		4840	FGSC A4
Ascomycota	Eurotiales	Emericella	nidulans		0.032	31.00		2768	
Ascomycota	Eurotiales	Emericella	nidulans	CHEF gel electrophoresis	0.032	31.00		2793	FGSC A4
Ascomycota	Eurotiales	Emericella	nidulans	CS	0.032	31.00		3930	
Ascomycota	Eurotiales	Emericella	nidulans	CS	0.032	31.00		3951	strain FGSC A4
Ascomycota	Eurotiales	Penicillium i	chrysogenum	CS	0.032	31.34		5311	v1.0
Ascomycota	Helotiales	Arachnopeziza	aranea cf.	Fl-PC	0.033	32.68	2	2215	BARAL 4205
Ascomycota	Helotiales	Belonopsis	asteroma	Fl-PC	0.069	67.64	4	2102	REG
Ascomycota	Helotiales	Belonopsis	guestphalicum cf.	Fl-PC	0.077	74.86	4	2125	BARAL 3825
Ascomycota	Helotiales	Belonopsis	lacustris cf.	Fl-PC	0.063	61.94	4?	2123	BARAL 4212
Ascomycota	Helotiales	Bisporella	scolochloae	Fl-PC	0.034	33.44	2	2452	REG
Ascomycota	Helotiales	Bryoscyphus	marchantiae cf.	Fl-PC	0.098	96.14	6	2534	BARAL 3811
Ascomycota	Helotiales	Cadophora	sp	CS	0.072	70.46		5260	DSE1049 v1.0
Ascomycota	Helotiales	Calycellina	lutea	Fl-PC	0.075	73.34	4	2339	BARAL 4188
Ascomycota	Helotiales	Capitotricha	fagiseda	Fl-PC	0.037	36.67	2	2206	REG
Ascomycota	Helotiales	Ciboria	dumbirensis	Fl-PC	0.054	53.01	3	2372	REG
Ascomycota	Helotiales	Cistella	acuum agg.	Fl-PC	0.038	37.43	2	2278	BARAL 4198 (Weber 528)
Ascomycota	Helotiales	Cistella	acuum agg.	Fl-PC	0.038	37.43	2	2277	REG (Weber 373)
Ascomycota	Helotiales	Claussenomyces	hydnicola cf.	Fl-PC	0.034	33.44	2	2385	MARSON 4367
Ascomycota	Helotiales	Claussenomyces	luteoviridis cf.	Fl-PC	0.027	26.03	1-2	2381	REG
Ascomycota	Helotiales	Coleosperma	lacustre cf.	Fl-PC	0.078	76.57	4	2166	BARAL 4211
Ascomycota	Helotiales	Coronellaria	benkertii	Fl-PC	0.057	55.48	3	2164	BARAL 4138
Ascomycota	Helotiales	Dasyscyphella	angustipila	Fl-PC	0.071	69.16	4	2259	REG
Ascomycota	Helotiales	Dasyscyphus	aconiti	Fl-PC	0.033	32.68	2	2275	REG
Ascomycota	Helotiales	Dasyscyphus	mughonicola	Fl-PC	0.055	53.77	3	2258	BARAL 4207
Ascomycota	Helotiales	Dermea	prunastri ss. Holm	Fl-PC	0.052	51.30	3	2067	BARAL 3724
Ascomycota	Helotiales	Dermea	pseudotsugae	Fl-PC	0.031	30.21	2	2065	BARAL 4102
Ascomycota	Helotiales	Diplonaevia	emergens	Fl-PC	0.048	47.31	3	2169	REG
Ascomycota	Helotiales	Diplonaevia	glacialis	Fl-PC	0.035	34.20	2	2168	BARAL 4137
Ascomycota	Helotiales	Drepanopeziza	verrucispora	Fl-PC	0.037	36.67	2	2175	BARAL 4438
Ascomycota	Helotiales	Durella	macrospora cf.	Fl-PC	0.045	44.08	2-3	2439	REG (Weber 264)
Ascomycota	Helotiales	Geoglossum	glutinosum	Fl-PC	0.037	35.91	2	2182	BARAL 3929
Ascomycota	Helotiales	Geoglossum	nigritum	Fl-PC	0.037	36.67	2	2183	BARAL 3893
Ascomycota	Helotiales	Geoglossum	simile	Fl-PC	0.036	34.96	2	2184	REG
Ascomycota	Helotiales	Grovesiella	abieticola cf.	Fl-PC	0.075	73.34	4	2428	BARAL 4054
Ascomycota	Helotiales	Helotium	phiala cf.	Fl-PC	0.032	30.97	2	2453	REG (Weber 110)
Ascomycota	Helotiales	Helotium	phiala cf.	Fl-PC	0.037	35.91	2	2455	REG (Weber 114)
Ascomycota	Helotiales	Helotium	phiala cf.	Fl-PC	0.037	35.91	2	2454	REG (Weber 246)
Ascomycota	Helotiales	Hyalacrotes	hamulata	Fl-PC	0.045	44.08	2-3	2329	BARAL 4196
Ascomycota	Helotiales	Hyalopeziza	millepunctata	Fl-PC	0.039	38.38	2-3	2321	REG (Weber 557)
Ascomycota	Helotiales	Hyalopeziza	millepunctata	Fl-PC	0.042	40.66	2-3	2322	REG (Weber 262)
Ascomycota	Helotiales	Hyalopeziza	millepunctata	Fl-PC	0.044	43.13	2-3	2324	REG (Weber 310)
Ascomycota	Helotiales	Hyalopeziza	millepunctata	Fl-PC	0.045	44.08	2-3	2325	BARAL 4095 (Weber 620)
Ascomycota	Helotiales	Hyaloscypha	britannica	Fl-PC	0.030	29.26	2	2298	no herbarium specimen (Weber 241)
Ascomycota	Helotiales	Hyaloscypha	britannica	Fl-PC	0.034	33.44	2	2299	BARAL 3714 (Weber 16)
Ascomycota	Helotiales	Hymenoscyphus	calyculus cf.	Fl-PC	0.050	48.83	3	2500	REG (Weber 661)
Ascomycota	Helotiales	Hymenoscyphus	carpinicola	Fl-PC	0.054	53.01	3	2506	REG (Weber 103)
Ascomycota	Helotiales	Hymenoscyphus	carpinicola	Fl-PC	0.055	53.77	3	2507	REG (Weber 243)
Ascomycota	Helotiales	Hymenoscyphus	consobrinus	Fl-PC	0.047	46.36	3	2489	REG
