taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
7666497	Aplexa marmorata (Guilding, 1828)	8361961	Stenophysa marmorata (Guilding, 1828)	2	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225			Physidae	6798	Stenophysa	2291142	Stenophysa marmorata	8361961	NE
12059177	Oxystyla pulchella (Spix, 1827)	7619248	Orthalicus pulchellus (Spix, 1827)	2	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Stylommatophora	1456	Orthalicidae	3244147	Orthalicus	4304751	Orthalicus pulchellus	7619248	NE
7619248	Orthalicus pulchellus (Spix, 1827)	7619248	Orthalicus pulchellus (Spix, 1827)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Stylommatophora	1456	Orthalicidae	3244147	Orthalicus	4304751	Orthalicus pulchellus	7619248	NE
2239256	Aiolochroia crassa (Hyatt, 1875)	2239256	Aiolochroia crassa (Hyatt, 1875)	2	SPECIES	ACCEPTED	Animalia	1	Porifera	105	Demospongiae	199	Verongiida	8058188	Aplysinidae	4915	Aiolochroia	2239251	Aiolochroia crassa	2239256	NE
2285559	Yoldiella jeffreysi (Hidalgo, 1877)	2285559	Yoldiella jeffreysi (Hidalgo, 1877)	3	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Nuculanida	9405932	Yoldiidae	6873	Yoldiella	2285533	Yoldiella jeffreysi	2285559	NE
2403930	Gymnothorax vicinus (Castelnau, 1855)	2403930	Gymnothorax vicinus (Castelnau, 1855)	50	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Anguilliformes	495	Muraenidae	2953	Gymnothorax	2403463	Gymnothorax vicinus	2403930	LC
5204777	Holocentrus rufus (Walbaum, 1792)	5204777	Holocentrus rufus (Walbaum, 1792)	28	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Beryciformes	499	Holocentridae	7195	Holocentrus	3241028	Holocentrus rufus	5204777	LC
5341265	Cordia obliqua Willd.	5341265	Cordia obliqua Willd.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Boraginales	7226464	Cordiaceae	4930453	Cordia	2900865	Cordia obliqua	5341265	NE
5660494	Cordia tremula Griseb.	5341265	Cordia obliqua Willd.	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Boraginales	7226464	Cordiaceae	4930453	Cordia	2900865	Cordia obliqua	5341265	NE
6489892	Lobatus gallus (Linnaeus, 1758)	5935508	Aliger gallus (Linnaeus, 1758)	3	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Strombidae	7064	Aliger	3244516	Aliger gallus	5935508	NE
5192680	Strombus gallus Linnaeus, 1758	5935508	Aliger gallus (Linnaeus, 1758)	7	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Strombidae	7064	Aliger	3244516	Aliger gallus	5935508	NE
6521950	Teredothyra matocotana (Bartsch, 1927)	6521950	Teredothyra matocotana (Bartsch, 1927)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Myida	9241244	Teredinidae	6879	Teredothyra	2288860	Teredothyra matocotana	6521950	NE
