taxon_id,input,rank,suggested
356179,Syrrhophus marnocki,species,Eleutherodactylus marnockii
1273188,Pleurodema somuncurense,species,Pleurodema somuncurensis
143426,Mantella cowanii,species,Mantella cowani
369514,Odorrana andersoni,species,Odorrana andersonii
1510583,Telmatobius phillippii,species,Telmatobius philippii
taxon_id,input,rank,suggested
302094,Bufo pewzowi,species,Bufotes pewzowi
2590924,Bufotes variabilis,species,Bufotes sitibundus
655848,Calyptocephalella gayi,species,Calyptocephallela gayi
448853,Pristimantis ramagii,species,Ischnocnema ramagii
448697,Pristimantis terraebolivaris,species,Pristimantis incertus
2782222,Acris crepitans blanchardi,species,Acris blanchardi
318254,Aparasphenodon brunoi,species,Nyctimantis brunoi
1513813,Boana alemani,species,Hypsiboas alemani
192750,Hyla raniceps,species,Boana raniceps
1573471,Ololygon albicans,species,Scinax albicans
1811941,Ololygon littoralis,species,Scinax littoralis
1911130,Ololygon longilinea,species,Scinax longilineus
699829,Ololygon obtriangulata,species,Scinax obtriangulatus
544720,Ololygon perpusilla,species,Scinax perpusillus
2508729,Ololygon rizibilis,species,Scinax rizibilis
1811942,Ololygon trapicheiroi,species,Scinax trapicheiroi
1134380,Ololygon v-signata,species,Scinax sp. 'x-signatus'
143510,Hyperolius madagascariensis,species,Heterixalus madagascariensis
43508,Leiopelma pakeka,species,Leiopelma hamiltoni
1349687,Leptodactylus marmoratus,species,Adenomera marmorata
520735,Pleurodema bufonina,species,Pleurodema bufoninum
218474,Kyarranus kundagungan,species,Philoria kundagungan
233775,Megalophrys feae,species,Megophrys feae
265036,Megophrys minor,species,Xenophrys minor
663277,Megophrys montana,species,Megophrys monticola
336081,Litoria wotjulumensis,species,Litoria watjulumensis
1659773,Amnirana nicobariensis,species,Bijurana nicobariensis
318551,Amolops liangshanensis,species,Amolops loloensis
127020,Chalcorana chalconota,species,Hylarana chalconota
110111,Hylarana lateralis,species,Humerana lateralis
120495,Nidirana adenopleura,species,Babina adenopleura
1168020,Rana amurensis coreana,species,Rana coreana
290503,Rana aurora draytoni,species,Rana draytonii
113383,Rana huanrenensis,species,Rana huanrensis
697147,Chiromantis petersi,species,Chiromantis petersii
2773507,Feihyla vittata,species,Rohanixalus vittatus
462321,Rhacophorus dugritei,species,Zhangixalus dugritei
462322,Rhacophorus feae,species,Zhangixalus feae
28437,Rhacophorus moltrechti,species,Zhangixalus moltrechti
462328,Rhacophorus omeimontis,species,Zhangixalus omeimontis
2212637,Rhacophorus owstoni,species,Zhangixalus owstoni
2175162,Rhacophorus smaragdinus,species,Zhangixalus smaragdinus
27579,Rhacophorus taipeianus,species,Zhangixalus taipeianus
8305,Ambystoma tigrinum tigrinum,species,Ambystoma tigrinum
