Order	Family	Genus	Species	chr_num_female	chr_num_male	predicted_ploidy	sex_system	karyotype	genotypic	haplodiploidy	environmental	Polyfactorial (yes,no)	molecular_basis
Anura	Bombinatoridae	Bombina	Bombina bombina				gonochorous						
Anura	Bombinatoridae	Bombina	Bombina orientalis				gonochorous	homomorphic	male heterogametic				
Anura	Bombinatoridae	Bombina	Bombina variegata				gonochorous						
Anura	Bufonidae	Bufo	Bufo bufo				gonochorous	homomorphic	female heterogametic				
Anura	Bufonidae	Bufo	Bufo calamita				gonochorous	homomorphic					
Anura	Bufonidae	Bufo	Bufo gargarizans				gonochorous	homomorphic	female heterogametic				
Anura	Bufonidae	Bufo	Bufo marinus				gonochorous	homomorphic	female heterogametic				
Anura	Bufonidae	Bufo	Bufo melanostictus	22	22		gonochorous	homomorphic	male heterogametic				
Anura	Bufonidae	Bufo	Bufo raddei				gonochorous	homomorphic	male heterogametic				
Anura	Bufonidae	Bufo	Bufo siculus				gonochorous	homomorphic	male heterogametic				
Anura	Bufonidae	Melanophryniscus	Melanophryniscus stelzneri	22	22		gonochorous	homomorphic					
Anura	Bufonidae	Rhinella	Rhinella achalensis	22	22		gonochorous	homomorphic					
Anura	Bufonidae	Rhinella	Rhinella arenarum	22	22		gonochorous	homomorphic					
Anura	Bufonidae	Rhinella	Rhinella fernandezae	22	22		gonochorous	homomorphic					
Anura	Bufonidae	Rhinella	Rhinella schneideri	22	22		gonochorous	homomorphic					
Anura	Cycloramphidae	Proceratophrys	Proceratophrys boiei	22	22		gonochorous	ZW	female heterogametic				
Anura	Dendrobatidae	Adelphobates	Adelphobates castaneoticus	18	18		gonochorous	homomorphic					
Anura	Dendrobatidae	Adelphobates	Adelphobates quinquevittatus	18	18		gonochorous	homomorphic					
Anura	Dendrobatidae	Ameerega	Ameerega picta	24	24		gonochorous	homomorphic					
Anura	Dendrobatidae	Dendrobates	Dendrobates tinctorius	18	18		gonochorous	homomorphic					
Anura	Dendrobatidae	Epipedobates	Epipedobates flavopictus	24	24		gonochorous	homomorphic					
Anura	Dendrobatidae	Epipedobates	Epipedobates hahneli	24	24		gonochorous	homomorphic					
Anura	Discoglossidae	Alytes	Alytes obstetricans	38	38		gonochorous	homomorphic					
Anura	Discoglossidae	Discoglossus	Discoglossus pictus				gonochorous	ZW	female heterogametic				
Anura	Hylidae	Aparasphenodon	Aparasphenodon brunoi	24	24		gonochorous	homomorphic					
Anura	Hylidae	Gastrotheca	Gastrotheca ovifera				gonochorous	homomorphic	male heterogametic				
Anura	Hylidae	Gastrotheca	Gastrotheca pseustes				gonochorous	homomorphic	male heterogametic				
Anura	Hylidae	Gastrotheca	Gastrotheca riobambae				gonochorous	XY	male heterogametic				
Anura	Hylidae	Gastrotheca	Gastrotheca walkeri				gonochorous	XY	male heterogametic				
Anura	Hylidae	Hyla	Hyla arborea				gonochorous	homomorphic	male heterogametic				
Anura	Hylidae	Hyla	Hyla femoralis				gonochorous	XY	male heterogametic				
Anura	Hylidae	Hyla	Hyla japonica				gonochorous	homomorphic	male heterogametic				
Anura	Hylidae	Hyla	Hyla savignyi				gonochorous	homomorphic					
Anura	Hylidae	Hyla	Hyla squirella				gonochorous	homomorphic					
Anura	Hylidae	Hyla	Hyla versicolor				gonochorous	homomorphic					
Anura	Hylidae	Hypsiboas	Hypsiboas polytaenius	24	24		gonochorous	homomorphic					
Anura	Hylidae	Itapotihyla	Itapotihyla langsdorffii	24	24		gonochorous	homomorphic					
Anura	Hylidae	Phasmahyla	Phasmahyla exilis	26	26		gonochorous	homomorphic	male heterogametic				
Anura	Hylidae	Phyllomedusa	Phyllomedusa rohdei	40	40		gonochorous	homomorphic	male heterogametic				
Anura	Hylidae	Pseudis	Pseudis bolbodactyla	24	24		gonochorous	homomorphic					
Anura	Hylidae	Pseudis	Pseudis fusca	24	24		gonochorous	homomorphic					
Anura	Hylidae	Pseudis	Pseudis paradoxa	24	24		gonochorous	homomorphic					
Anura	Hylidae	Pseudis	Pseudis tocantins	24	24		gonochorous	ZW	female heterogametic				
Anura	Hylidae	Scinax	Scinax alter	24	24		gonochorous	homomorphic					
Anura	Hylidae	Scinax	Scinax argyreornatus	24	24		gonochorous	homomorphic					
Anura	Hylidae	Scinax	Scinax catharinae				gonochorous	homomorphic					
Anura	Hylidae	Scinax	Scinax ruber				gonochorous	homomorphic					
Anura	Hylidae	Smilisca	Smilisca baudinii	24	24		gonochorous	homomorphic					
Anura	Hyperoliidae	Hyperolius	Hyperolius viridiflavus	24	24		gonochorous	homomorphic	male heterogametic				
Anura	Leiopelmatidae	Leiopelma	Leiopelma archeyi				gonochorous	ZW	female heterogametic				
Anura	Leiopelmatidae	Leiopelma	Leiopelma hamiltoni				gonochorous	homomorphic	female heterogametic				
Anura	Leiopelmatidae	Leiopelma	Leiopelma hochstetteri				gonochorous	WO	female heterogametic				
Anura	Leiopelmatidae	Leiopelma	Leiopelma pakeka				gonochorous	homomorphic	female heterogametic				
Anura	Leptodactylidae	Engystomops	Engystomops petersi				gonochorous	homomorphic	male heterogametic				
Anura	Leptodactylidae	Eupsophus	Eupsophus insularis	30	30		gonochorous	homomorphic	male heterogametic				
Anura	Leptodactylidae	Eupsophus	Eupsophus migueli				gonochorous	homomorphic	male heterogametic				
Anura	Leptodactylidae	Hylodes	Hylodes phyllodes	26	26		gonochorous						
Anura	Leptodactylidae	Physalaemus	Physalaemus ephippifer				gonochorous	homomorphic	female heterogametic				
Anura	Leptodactylidae	Physalaemus	Physalaemus petersi	22	22		gonochorous	homomorphic	male heterogametic				
Anura	Leptodactylidae	Pristimantis	Pristimantis dundeei				gonochorous						
Anura	Leptodactylidae	Pristimantis	Pristimantis paulodutrai				gonochorous						
Anura	Leptodactylidae	Pseudopaludicola	Pseudopaludicola canga				gonochorous	homomorphic					
Anura	Leptodactylidae	Pseudopaludicola	Pseudopaludicola murundu				gonochorous	homomorphic					
Anura	Leptodactylidae	Pseudopaludicola	Pseudopaludicola saltica				gonochorous	homomorphic	male heterogametic				
Anura	Myobatrachidae	Crinia	Crinia bilingua				gonochorous	ZW	female heterogametic				
Anura	Myobatrachidae	Neobatrachus	Neobatrachus sudelli				gonochorous						
Anura	Myobatrachidae	Neobatrachus	Neobatrachus sutor				gonochorous						
Anura	Pelobatidae	Pelobates	Pelobates fuscus				gonochorous						
Anura	Pelodytidae	Pelodytes	Pelodytes punctatus				gonochorous		male heterogametic				
Anura	Pipidae	Xenopus	Xenopus laevis				gonochorous	homomorphic	female heterogametic				W dominant
Anura	Pipidae	Xenopus	Xenopus ruwenzoriensis				gonochorous						
Anura	Ranidae	Amolops	Amolops mantzorum				gonochorous	homomorphic	male heterogametic				
Anura	Ranidae	Pelophylax	Pelophylax kl. esculentus			2	other	homomorphic	male heterogametic				
Anura	Ranidae	Pelophylax	Pelophylax kl. grafi			2	other						
Anura	Ranidae	Pelophylax	Pelophylax nigromaculatus				gonochorous	homomorphic					
Anura	Ranidae	Pelophylax	Pelophylax ridibundus				gonochorous	homomorphic	male heterogametic				
Anura	Ranidae	Pyxicephalus	Pyxicephalus adspersus				gonochorous	ZW	female heterogametic				
Anura	Ranidae	Rana	Rana berlandieri				gonochorous	homomorphic	male heterogametic				
Anura	Ranidae	Rana	Rana blairi				gonochorous	homomorphic	male heterogametic				
Anura	Ranidae	Rana	Rana catesbeiana				gonochorous	homomorphic	male heterogametic				
Anura	Ranidae	Rana	Rana clamitans				gonochorous	homomorphic	male heterogametic				
Anura	Ranidae	Rana	Rana dybowskii	24	24		gonochorous	homomorphic					
Anura	Ranidae	Rana	Rana japonica				gonochorous	homomorphic	male heterogametic				
Anura	Ranidae	Rana	Rana pipiens				gonochorous	homomorphic	male heterogametic				
Anura	Ranidae	Rana	Rana rugosa				gonochorous	ZW	female heterogametic				
Anura	Ranidae	Rana	Rana sphenocephala				gonochorous	homomorphic	male heterogametic				
Anura	Ranidae	Rana	Rana tagoi	26	26		gonochorous	XY	male heterogametic				
Anura	Ranidae	Rana	Rana temporaria				gonochorous	homomorphic	male heterogametic				
Anura	Ranidae	Rana	Rana tsushimensis				gonochorous	homomorphic	male heterogametic				
Anura	Ranidae	Tomopterna	Tomopterna delalandii				gonochorous	ZW	female heterogametic				
Caudata	Ambystomatidae	Ambystoma	Ambystoma laterale				gonochorous	homomorphic	female heterogametic				
Caudata	Ambystomatidae	Ambystoma	Ambystoma mexicanum				gonochorous	homomorphic	female heterogametic				
Caudata	Ambystomatidae	Ambystoma	Ambystoma tigrinum				gonochorous	homomorphic	female heterogametic				
Caudata	Hynobiidae	Hynobius	Hynobius quelpaertensis				gonochorous	ZW	female heterogametic				
Caudata	Hynobiidae	Hynobius	Hynobius tokyoensis				gonochorous	homomorphic	female heterogametic				
Caudata	Plethodontidae	Aneides	Aneides ferreus				gonochorous	ZW	female heterogametic				
Caudata	Plethodontidae	Chiropterotriton	Chiropterotriton dimidiatus				gonochorous	ZW	female heterogametic				
Caudata	Plethodontidae	Dendrotriton	Dendrotriton rabbi				gonochorous	XY	male heterogametic				
Caudata	Plethodontidae	Dendrotriton	Dendrotriton xolocalcae				gonochorous	XY	male heterogametic				
Caudata	Plethodontidae	Hydromantes	Hydromantes ambrosii				gonochorous	XY	male heterogametic				
Caudata	Plethodontidae	Hydromantes	Hydromantes flavus				gonochorous	XY	male heterogametic				
Caudata	Plethodontidae	Hydromantes	Hydromantes imperialis				gonochorous	XY	male heterogametic				
Caudata	Plethodontidae	Hydromantes	Hydromantes italicus				gonochorous	XY	male heterogametic				
Caudata	Plethodontidae	Nototriton	Nototriton picadoi				gonochorous	XY	male heterogametic				
Caudata	Plethodontidae	Nototriton	Nototriton veraepacis				gonochorous	XY	male heterogametic				
Caudata	Plethodontidae	Oedipina	Oedipina parvipes				gonochorous	XY	male heterogametic				
Caudata	Plethodontidae	Oedipina	Oedipina poelzi				gonochorous	XY	male heterogametic				
Caudata	Plethodontidae	Oedipina	Oedipina uniformis				gonochorous	XY	male heterogametic				
Caudata	Plethodontidae	Thorius	Thorius dubitus				gonochorous	XY	male heterogametic				
Caudata	Plethodontidae	Thorius	Thorius pennatulus				gonochorous	XY	male heterogametic				
Caudata	Proteidae	Necturus	Necturus alabamensis				gonochorous	XY	male heterogametic				
Caudata	Proteidae	Necturus	Necturus beyeri				gonochorous	XY	male heterogametic				
Caudata	Proteidae	Necturus	Necturus maculosus				gonochorous	XY	male heterogametic				
Caudata	Proteidae	Necturus	Necturus punctatus				gonochorous	XY	male heterogametic				
Caudata	Salamandridae	Pleurodeles	Pleurodeles poireti				gonochorous	homomorphic	female heterogametic				
Caudata	Salamandridae	Pleurodeles	Pleurodeles waltl				gonochorous	homomorphic	female heterogametic				
Caudata	Salamandridae	Triturus	Triturus alpestris				gonochorous	homomorphic	male heterogametic				
Caudata	Salamandridae	Triturus	Triturus cristatus				gonochorous	homomorphic	male heterogametic				
Caudata	Salamandridae	Triturus	Triturus helveticus				gonochorous	homomorphic	male heterogametic				
Caudata	Salamandridae	Triturus	Triturus italicus				gonochorous	homomorphic	male heterogametic				
Caudata	Salamandridae	Triturus	Triturus marmoratus				gonochorous	homomorphic	male heterogametic				
Caudata	Salamandridae	Triturus	Triturus vulgaris				gonochorous	homomorphic	male heterogametic				
Caudata	Sirenidae	Siren	Siren intermedia				gonochorous	homomorphic	female heterogametic				
Gymnophiona	Indotyphlidae	Gegeneophis	Gegeneophis ramaswamii				gonochorous		male heterogametic				
Accipitriformes	Accipitridae	Aquila	Aquila adalberti				gonochorous	ZW	female heterogametic				
Accipitriformes	Accipitridae	Elanus	Elanus caeruleus				gonochorous	ZW	female heterogametic				
Accipitriformes	Accipitridae	Harpia	Harpia harpyja				gonochorous	ZW	female heterogametic				
Accipitriformes	Accipitridae	Leucopternis	Leucopternis albicollis				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Aix	Aix galericulata				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Aix	Aix sponsa				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Alopochen	Alopochen aegyptiaca				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Anas	Anas acuta				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Anas	Anas cyanoptera				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Anas	Anas discors				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Anas	Anas platyrhynchos				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Anas	Anas strepera				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Anser	Anser anser				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Anser	Anser cygnoides				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Aythya	Aythya affinis				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Aythya	Aythya americana				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Aythya	Aythya ferina				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Aythya	Aythya fuligula				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Aythya	Aythya valisineria				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Branta	Branta canadensis				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Bucephala	Bucephala clangula				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Cairina	Cairina moschata				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Cereopsis	Cereopsis novaehollandiae				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Chen	Chen caerulescens				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Chen	Chen canagica				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Chen	Chen rossii				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Cygnus	Cygnus olor				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Dendrocygna	Dendrocygna bicolor				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Lophodytes	Lophodytes cucullatus				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Mergus	Mergus merganser				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Oxyura	Oxyura jamaicensis				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Somateria	Somateria mollissima				gonochorous	ZW	female heterogametic				
Anseriformes	Anatidae	Tadorna	Tadorna tadorna				gonochorous	ZW	female heterogametic				
Anseriformes	Anseranatidae	Anseranas	Anseranas semipalmata				gonochorous	ZW	female heterogametic				
Apodiformes	Trochilidae	Calypte	Calypte anna				gonochorous	ZW	female heterogametic				
Bucerotiformes	Bucerotidae	Buceros	Buceros bicornis				gonochorous	ZW	female heterogametic				
Bucerotiformes	Bucerotidae	Bycanistes	Bycanistes bucinator				gonochorous	ZW	female heterogametic				
Bucerotiformes	Bucerotidae	Bycanistes	Bycanistes subcylindricus				gonochorous	ZW	female heterogametic				
Bucerotiformes	Bucorvidae	Bucorvus	Bucorvus leadbeateri				gonochorous	ZW	female heterogametic				
Casuariiformes	Dromaiidae	Dromaius	Dromaius novaehollandiae				gonochorous	ZW	female heterogametic				
Charadriiformes	Burhinidae	Burhinus	Burhinus grallarius				gonochorous	ZW	female heterogametic				
Charadriiformes	Burhinidae	Burhinus	Burhinus oedicnemus				gonochorous	ZW	female heterogametic				
Charadriiformes	Charadriidae	Charadrius	Charadrius hiaticula				gonochorous	ZW	female heterogametic				
Charadriiformes	Charadriidae	Charadrius	Charadrius vociferus				gonochorous	ZW	female heterogametic				
Charadriiformes	Charadriidae	Vanellus	Vanellus vanellus				gonochorous	ZW	female heterogametic				
Charadriiformes	Haematopodidae	Haematopus	Haematopus ostralegus				gonochorous	ZW	female heterogametic				
Charadriiformes	Laridae	Chroicocephalus	Chroicocephalus ridibundus				gonochorous	ZW	female heterogametic				
Charadriiformes	Laridae	Larus	Larus argentatus				gonochorous	ZW	female heterogametic				
Charadriiformes	Laridae	Larus	Larus canus				gonochorous	ZW	female heterogametic				
Charadriiformes	Laridae	Larus	Larus fuscus				gonochorous	ZW	female heterogametic				
Charadriiformes	Laridae	Sterna	Sterna hirundo				gonochorous	ZW	female heterogametic				
Charadriiformes	Laridae	Sterna	Sterna paradisaea				gonochorous	ZW	female heterogametic				
Charadriiformes	Recurvirostridae	Recurvirostra	Recurvirostra avosetta				gonochorous	ZW	female heterogametic				
Charadriiformes	Scolopacidae	Gallinago	Gallinago gallinago				gonochorous	ZW	female heterogametic				
Charadriiformes	Scolopacidae	Numenius	Numenius arquata				gonochorous	ZW	female heterogametic				
Charadriiformes	Scolopacidae	Tringa	Tringa totanus				gonochorous	ZW	female heterogametic				
Ciconiiformes	Ciconiidae	Ciconia	Ciconia ciconia				gonochorous	ZW	female heterogametic				
Ciconiiformes	Ciconiidae	Ciconia	Ciconia maguari				gonochorous	ZW	female heterogametic				
Ciconiiformes	Ciconiidae	Ciconia	Ciconia nigra				gonochorous	ZW	female heterogametic				
Ciconiiformes	Ciconiidae	Jabiru	Jabiru mycteria				gonochorous	ZW	female heterogametic				
Ciconiiformes	Ciconiidae	Leptoptilos	Leptoptilos javanicus				gonochorous	ZW	female heterogametic				
Ciconiiformes	Ciconiidae	Mycteria	Mycteria cinerea				gonochorous	ZW	female heterogametic				
Columbiformes	Columbidae	Caloenas	Caloenas nicobarica				gonochorous	ZW	female heterogametic				
Columbiformes	Columbidae	Columba	Columba livia				gonochorous	ZW	female heterogametic				
Columbiformes	Columbidae	Columba	Columba palumboides				gonochorous	ZW	female heterogametic				
Columbiformes	Columbidae	Geopelia	Geopelia cuneata				gonochorous	ZW	female heterogametic				
Columbiformes	Columbidae	Streptopelia	Streptopelia risoria				gonochorous	ZW	female heterogametic				
Columbiformes	Columbidae	Zenaida	Zenaida macroura				gonochorous	ZW	female heterogametic				
Coraciiformes	Coraciidae	Coracias	Coracias benghalensis				gonochorous	ZW	female heterogametic				
Falconiformes	Falconidae	Falco	Falco biarmicus				gonochorous	ZW	female heterogametic				
Falconiformes	Falconidae	Falco	Falco columbarius				gonochorous	ZW	female heterogametic				
Falconiformes	Falconidae	Falco	Falco peregrinus				gonochorous	ZW	female heterogametic				
Galliformes	Cracidae	Aburria	Aburria aburri				gonochorous	ZW	female heterogametic				
Galliformes	Cracidae	Mitu	Mitu mitu				gonochorous	ZW	female heterogametic				
Galliformes	Cracidae	Ortalis	Ortalis canicollis				gonochorous	ZW	female heterogametic				
Galliformes	Megapodiidae	Aepypodius	Aepypodius arfakianus				gonochorous	ZW	female heterogametic				
Galliformes	Megapodiidae	Aepypodius	Aepypodius bruijnii				gonochorous	ZW	female heterogametic				
Galliformes	Numididae	Guttera	Guttera pucherani				gonochorous	ZW	female heterogametic				
Galliformes	Numididae	Numida	Numida meleagris				gonochorous	ZW	female heterogametic				
Galliformes	Odontophoridae	Callipepla	Callipepla californica				gonochorous	ZW	female heterogametic				
Galliformes	Odontophoridae	Callipepla	Callipepla gambelii				gonochorous	ZW	female heterogametic				
Galliformes	Odontophoridae	Callipepla	Callipepla squamata				gonochorous	ZW	female heterogametic				
Galliformes	Phasianidae	Afropavo	Afropavo congensis				gonochorous	ZW	female heterogametic				
Galliformes	Phasianidae	Chrysolophus	Chrysolophus pictus				gonochorous	ZW	female heterogametic				
Galliformes	Phasianidae	Coturnix	Coturnix coturnix				gonochorous	ZW	female heterogametic				
Galliformes	Phasianidae	Gallus	Gallus gallus				gonochorous	ZW	female heterogametic				
Galliformes	Phasianidae	Lagopus	Lagopus lagopus				gonochorous	ZW	female heterogametic				
Galliformes	Phasianidae	Lophura	Lophura swinhoii				gonochorous	ZW	female heterogametic				
Galliformes	Phasianidae	Meleagris	Meleagris gallopavo				gonochorous	ZW	female heterogametic				
Galliformes	Phasianidae	Phasianus	Phasianus colchicus				gonochorous	ZW	female heterogametic				
Gaviiformes	Gaviidae	Gavia	Gavia stellata				gonochorous	ZW	female heterogametic				
Gruiformes	Gruidae	Grus	Grus japonensis				gonochorous	ZW	female heterogametic				
Gruiformes	Gruidae	Grus	Grus rubicunda				gonochorous	ZW	female heterogametic				
Gruiformes	Rallidae	Fulica	Fulica atra				gonochorous	ZW	female heterogametic				
Gruiformes	Rallidae	Gallinula	Gallinula chloropus				gonochorous	ZW	female heterogametic				
Passeriformes	Alaudidae	Alauda	Alauda arvensis				gonochorous	complex ZW	female heterogametic				
Passeriformes	Certhiidae	Certhia	Certhia familiaris				gonochorous	ZW	female heterogametic				
Passeriformes	Cisticolidae	Orthotomus	Orthotomus sutorius				gonochorous	ZW	female heterogametic				
Passeriformes	Corvidae	Corvus	Corvus brachyrhynchos				gonochorous	ZW	female heterogametic				
Passeriformes	Corvidae	Corvus	Corvus corax				gonochorous	ZW	female heterogametic				
Passeriformes	Corvidae	Corvus	Corvus corone				gonochorous	ZW	female heterogametic				
Passeriformes	Corvidae	Cyanocitta	Cyanocitta cristata				gonochorous	ZW	female heterogametic				
Passeriformes	Corvidae	Pica	Pica pica				gonochorous	ZW	female heterogametic				
Passeriformes	Cotingidae	Cephalopterus	Cephalopterus penduliger				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Amadina	Amadina erythrocephala				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Amadina	Amadina fasciata				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Amandava	Amandava subflava				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Emblema	Emblema pictum				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Erythrura	Erythrura trichroa				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Estrilda	Estrilda astrild				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Euodice	Euodice malabarica				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Lagonosticta	Lagonosticta senegala				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Lonchura	Lonchura castaneothorax				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Lonchura	Lonchura flaviprymna				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Lonchura	Lonchura molucca				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Lonchura	Lonchura punctulata				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Lonchura	Lonchura striata				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Neochmia	Neochmia modesta				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Neochmia	Neochmia phaeton				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Neochmia	Neochmia temporalis				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Poephila	Poephila cincta				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Poephila	Poephila personata				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Stagonopleura	Stagonopleura guttata				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Taeniopygia	Taeniopygia guttata				gonochorous	ZW	female heterogametic				
Passeriformes	Estrildidae	Uraeginthus	Uraeginthus bengalus				gonochorous	ZW	female heterogametic				
Passeriformes	Fringillidae	Serinus	Serinus canaria				gonochorous	ZW	female heterogametic				
Passeriformes	Motacillidae	Motacilla	Motacilla flava				gonochorous	ZW	female heterogametic				
Passeriformes	Muscicapidae	Monticola	Monticola saxatilis				gonochorous	ZW	female heterogametic				
Passeriformes	Muscicapidae	Oenanthe	Oenanthe deserti				gonochorous	ZW	female heterogametic				
Passeriformes	Muscicapidae	Oenanthe	Oenanthe hispanica				gonochorous	ZW	female heterogametic				
Passeriformes	Muscicapidae	Oenanthe	Oenanthe oenanthe				gonochorous	ZW	female heterogametic				
Passeriformes	Muscicapidae	Phoenicurus	Phoenicurus phoenicurus				gonochorous	ZW	female heterogametic				
Passeriformes	Muscicapidae	Saxicola	Saxicola insignis				gonochorous	ZW	female heterogametic				
Passeriformes	Muscicapidae	Saxicola	Saxicola torquatus				gonochorous	ZW	female heterogametic				
Passeriformes	Paridae	Parus	Parus major				gonochorous	ZW	female heterogametic				
Passeriformes	Paridae	Poecile	Poecile palustris				gonochorous	ZW	female heterogametic				
Passeriformes	Passeridae	Passer	Passer domesticus				gonochorous	ZW	female heterogametic				
Passeriformes	Passeridae	Passer	Passer hispaniolensis				gonochorous	ZW	female heterogametic				
Passeriformes	Passeridae	Passer	Passer montanus				gonochorous	ZW	female heterogametic				
Passeriformes	Sylviidae	Chrysomma	Chrysomma sinense				gonochorous	ZW	female heterogametic				
Passeriformes	Sylviidae	Sylvia	Sylvia communis				gonochorous	complex ZW	female heterogametic				
Passeriformes	Thraupidae	Oryzoborus	Oryzoborus maximiliani				gonochorous	ZW	female heterogametic				
Passeriformes	Thraupidae	Sporophila	Sporophila americana				gonochorous	ZW	female heterogametic				
Passeriformes	Thraupidae	Sporophila	Sporophila nigricollis				gonochorous	ZW	female heterogametic				
Passeriformes	Turdidae	Turdus	Turdus merula				gonochorous	ZW	female heterogametic				
Passeriformes	Turdidae	Turdus	Turdus migratorius				gonochorous	ZW	female heterogametic				
Passeriformes	Turdidae	Turdus	Turdus pilaris				gonochorous	ZW	female heterogametic				
Pelecaniformes	Ardeidae	Ardea	Ardea cinerea				gonochorous	ZW	female heterogametic				
Pelecaniformes	Ardeidae	Ardea	Ardea goliath				gonochorous	ZW	female heterogametic				
Pelecaniformes	Balaenicipitidae	Balaeniceps	Balaeniceps rex				gonochorous	ZW	female heterogametic				
Pelecaniformes	Pelecanidae	Pelecanus	Pelecanus crispus				gonochorous	ZW	female heterogametic				
Pelecaniformes	Scopidae	Scopus	Scopus umbretta				gonochorous	ZW	female heterogametic				
Pelecaniformes	Threskiornithidae	Geronticus	Geronticus eremita				gonochorous	ZW	female heterogametic				
Pelecaniformes	Threskiornithidae	Threskiornis	Threskiornis moluccus				gonochorous	ZW	female heterogametic				
Pelecaniformes	Threskiornithidae	Threskiornis	Threskiornis spinicollis				gonochorous	ZW	female heterogametic				
Piciformes	Megalaimidae	Megalaima	Megalaima haemacephala				gonochorous	ZW	female heterogametic				
Piciformes	Picidae	Dendrocopos	Dendrocopos mahrattensis				gonochorous	ZW	female heterogametic				
Piciformes	Picidae	Picus	Picus viridis				gonochorous	ZW	female heterogametic				
Podicipediformes	Podicipedidae	Podiceps	Podiceps cristatus				gonochorous	ZW	female heterogametic				
Psittaciformes	Cacatuidae	Cacatua	Cacatua galerita				gonochorous	ZW	female heterogametic				
Psittaciformes	Cacatuidae	Cacatua	Cacatua sanguinea				gonochorous	ZW	female heterogametic				
Psittaciformes	Cacatuidae	Calyptorhynchus	Calyptorhynchus banksii				gonochorous	ZW	female heterogametic				
Psittaciformes	Cacatuidae	Nymphicus	Nymphicus hollandicus				gonochorous	ZW	female heterogametic				
Psittaciformes	Psittacidae	Amazona	Amazona viridigenalis				gonochorous	ZW	female heterogametic				
Psittaciformes	Psittacidae	Anodorhynchus	Anodorhynchus hyacinthinus				gonochorous	ZW	female heterogametic				
Psittaciformes	Psittacidae	Aratinga	Aratinga aurea				gonochorous	ZW	female heterogametic				
Psittaciformes	Psittacidae	Aratinga	Aratinga cactorum				gonochorous	ZW	female heterogametic				
Psittaciformes	Psittacidae	Deroptyus	Deroptyus accipitrinus				gonochorous	ZW	female heterogametic				
Psittaciformes	Psittacidae	Graydidascalus	Graydidascalus brachyurus				gonochorous	ZW	female heterogametic				
Psittaciformes	Psittacidae	Melopsittacus	Melopsittacus undulatus				gonochorous	ZW	female heterogametic				
Psittaciformes	Psittacidae	Pionus	Pionus maximiliani				gonochorous	ZW	female heterogametic				
Psittaciformes	Psittacidae	Psittrichas	Psittrichas fulgidus				gonochorous	ZW	female heterogametic				
Rheiformes	Rheidae	Rhea	Rhea americana				gonochorous	ZW	female heterogametic				
