"Order","Suborder","Family","species","Reproductive mode","Meioformula","Sex chromosome system","Ploidy level","B chromosomes","Notes","Citation","Ploidy","Chrnum","Haploid_autosome_num","Sex_chromosomes","estimated_haploid"
"Coleoptera","Adephaga","Carabidae","Abax ater","Sexual diplodiploidy","2n=35M","","NA","","","Yadav,Lyapunova,Korablev,Baklushiskaya-Yani,and Vorontosov (1991)","2","35","","",""
"Coleoptera","Adephaga","Carabidae","Abax ovalis","Sexual diplodiploidy","2n=35M","","NA","","","Yadav,Lyapunova,Korablev,Baklushiskaya-Yani,and Vorontosov (1991)","2","35","","",""
"Coleoptera","Adephaga","Carabidae","Abax parallelepipedus","Sexual diplodiploidy","2n=35M 17+XO","XO","NA","","","Yadav,Lyapunova,Korablev,Baklushiskaya-Yani,and Vorontosov (1991)","2","35","17","XO","18/17"
"Coleoptera","Adephaga","Carabidae","Abax parallelus","Sexual diplodiploidy","2n=35M 17+XO","XO","NA","","","Yadav,Lyapunova,Korablev,Baklushiskaya-Yani,and Vorontosov (1991)","2","35","17","XO","18/17"
"Coleoptera","Adephaga","Carabidae","Acinopus giganteus","","2n=37M","","NA","","","Serrano and Galian (1998)","2","37","","",""
"Coleoptera","Adephaga","Carabidae","Acinopus picipes","Sexual diplodiploidy","2n=37M","","NA","","","Serrano and Yadav (1984)","2","37","","",""
"Coleoptera","Adephaga","Carabidae","Acupalpus brunnipes","","2n=45M","","NA","","","Serrano and Galian (1998)","2","45","","",""
"Coleoptera","Adephaga","Carabidae","Acupalpus elegans","Sexual diplodiploidy","2n=22M 10+XY","XY","NA","","","Rudek (1992)","2","22","10","XY","11/11"
"Coleoptera","Adephaga","Carabidae","Acupalpus maculatus","","2n=39M","","NA","","","Serrano and Galian (1998)","2","39","","",""
"Coleoptera","Adephaga","Carabidae","Agonum corvus","","2n=39M","","NA","","","Serrano and Galian (1998)","2","39","","",""
"Coleoptera","Adephaga","Carabidae","Agonum dolens","Sexual diplodiploidy","2n=39M 19+XO","XO","NA","","","Serrano and Yadav (1984)","2","39","19","XO","20/19"
"Coleoptera","Adephaga","Carabidae","Agonum ericeti","Sexual diplodiploidy","2n=34M 16+XY","XY","NA","","","Serrano and Yadav (1984)","2","34","16","XY","17/17"
"Coleoptera","Adephaga","Carabidae","Agonum extensicolle","Sexual diplodiploidy","2n=37M 18+XO","XO","NA","","","Serrano and Galian (1998)","2","37","18","XO","19/18"
"Coleoptera","Adephaga","Carabidae","Agonum fuliginosum","Sexual diplodiploidy","2n=37M 18+XO","XO","NA","","","Serrano and Yadav (1984)","2","37","18","XO","19/18"
"Coleoptera","Adephaga","Carabidae","Agonum gracile","","2n=35-36M","","NA","","","Serrano and Galian (1998)","2","35/36","","",""
