taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2275570	Ophiolepis ailsae Hendler & Turner, 1987	2275570	Ophiolepis ailsae Hendler & Turner, 1987	1	SPECIES	ACCEPTED	Animalia	1	Echinodermata	50	Ophiuroidea	350	Amphilepidida	9661062	Ophiolepididae	3219	Ophiolepis	2275564	Ophiolepis ailsae	2275570	NE
2293443	Emarginula phrixodes Dall, 1927	2293443	Emarginula phrixodes Dall, 1927	6	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Lepetellida	9799313	Fissurellidae	6810	Emarginula	2293442	Emarginula phrixodes	2293443	NE
5189188	Astarte smithii Dall, 1886	5189188	Astarte smithii Dall, 1886	6	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Carditida	9280416	Astartidae	6859	Astarte	2287271	Astarte smithii	5189188	NE
5416690	Eugenia chrysobalanoides DC.	5416690	Eugenia chrysobalanoides DC.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Myrtaceae	5014	Eugenia	3177662	Eugenia chrysobalanoides	5416690	NE
7385748	Lyngbya confervoides C.Agardh ex Gomont	7385748	Lyngbya confervoides C.Agardh ex Gomont	4	SPECIES	ACCEPTED	Bacteria	3	Cyanobacteria	68	Cyanobacteriia	10774316	Cyanobacteriales	10793096	Microcoleaceae	7941427	Lyngbya	3218593	Lyngbya confervoides	7385748	NE
8399964	Gobioclinus kalisherae (Jordan, 1904)	8399964	Gobioclinus kalisherae (Jordan, 1904)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Labrisomidae	4280	Gobioclinus	4576287	Gobioclinus kalisherae	8399964	LC
2389650	Labrisomus kalisherae (Jordan, 1904)	8399964	Gobioclinus kalisherae (Jordan, 1904)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44			Perciformes	587	Labrisomidae	4280	Gobioclinus	4576287	Gobioclinus kalisherae	8399964	LC
2313651	Evarnella trimaculata Treadwell, 1924	2313650	Harmothoe trimaculata (Treadwell, 1924)	1	SPECIES	SYNONYM	Animalia	1	Annelida	42	Polychaeta	256	Phyllodocida	1079	Polynoidae	7078	Harmothoe	2315129	Harmothoe trimaculata	2313650	NE
5724874	Bursa latitudo Garrard, 1961	11161263	Tritonoranella latitudo (Garrard, 1961)	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Bursidae	2677	Tritonoranella	4609406	Tritonoranella latitudo	11161263	NE
7648139	Carpenteria proteiformis Goës, 1882	9460711	Pseudobiarritzina proteiformis (Goës, 1882)	5	SPECIES	SYNONYM	Chromista	4	Foraminifera	8376456	Globothalamea	7434778	Rotaliida	7692889	Rosalinidae	4381485	Pseudobiarritzina	8261138	Pseudobiarritzina proteiformis	9460711	NE
7912353	Margarita asperrima Dall, 1881	2292812	Dentistyla asperrima (Dall, 1881)	2	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Seguenziida	9759304	Chilodontaidae	9760249	Dentistyla	2292811	Dentistyla asperrima	2292812	NE
2292812	Dentistyla asperrima (Dall, 1881)	2292812	Dentistyla asperrima (Dall, 1881)	3	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Seguenziida	9759304	Chilodontaidae	9760249	Dentistyla	2292811	Dentistyla asperrima	2292812	NE
8517439	Drillia euphanes Melvill, 1923	8517439	Drillia euphanes Melvill, 1923	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Drilliidae	6777	Drillia	2304581	Drillia euphanes	8517439	NE
2259218	Caryophyllia berteriana Duchassaing, 1850	2259218	Caryophyllia berteriana Duchassaing, 1850	30	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Caryophylliidae	11260974	Caryophyllia	2259152	Caryophyllia berteriana	2259218	NE
2276092	Amphiura duplicata Lyman, 1875	2276091	Histampica duplicata (Lyman, 1875)	1	SPECIES	SYNONYM	Animalia	1	Echinodermata	50	Ophiuroidea	350	Amphilepidida	9661062	Ophiothamnidae	9722376	Histampica	2276087	Histampica duplicata	2276091	NE
2276093	Ophiactis duplicata (Lyman, 1875)	2276091	Histampica duplicata (Lyman, 1875)	3	SPECIES	SYNONYM	Animalia	1	Echinodermata	50	Ophiuroidea	350	Amphilepidida	9661062	Ophiothamnidae	9722376	Histampica	2276087	Histampica duplicata	2276091	NE
5187940	Amphiactis duplicata (Lyman, 1875)	2276091	Histampica duplicata (Lyman, 1875)	1	SPECIES	SYNONYM	Animalia	1	Echinodermata	50	Ophiuroidea	350	Amphilepidida	9661062	Ophiothamnidae	9722376	Histampica	2276087	Histampica duplicata	2276091	NE
2276091	Histampica duplicata (Lyman, 1875)	2276091	Histampica duplicata (Lyman, 1875)	4	SPECIES	ACCEPTED	Animalia	1	Echinodermata	50	Ophiuroidea	350	Amphilepidida	9661062	Ophiothamnidae	9722376	Histampica	2276087	Histampica duplicata	2276091	NE
2303817	Ithycythara auberiana (d'Orbigny, 1847)	2303817	Ithycythara auberiana (d'Orbigny, 1847)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Mangeliidae	5857036	Ithycythara	2303816	Ithycythara auberiana	2303817	NE
5398836	Mikania latifolia Sm.	5398836	Mikania latifolia Sm.	5	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Mikania	7722389	Mikania latifolia	5398836	NE
8801070	Globigerinatheka subconglobata (Shutskaya, 1958)	8801070	Globigerinatheka subconglobata (Shutskaya, 1958)	2	SPECIES	ACCEPTED	Chromista	4	Foraminifera	8376456	Globothalamea	7434778	Rotaliida	7692889	Globigerinidae	8273781	Globigerinatheka	8074613	Globigerinatheka subconglobata	8801070	NE
9007638	Helicina conoidea L.Pfeiffer, 1854	9007638	Helicina conoidea L.Pfeiffer, 1854	4	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Cycloneritida	9680972	Helicinidae	7054	Lucidella	2291371	Helicina conoidea	9007638	NE
9564799	Ficus pellucida Deshayes, 1856	9564799	Ficus pellucida Deshayes, 1856	5	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Ficidae	6567	Ficus	2301388	Ficus pellucida	9564799	NE
6491454	Ficus howelli Clench & Aguayo, 1940	9564799	Ficus pellucida Deshayes, 1856	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Ficidae	6567	Ficus	2301388	Ficus pellucida	9564799	NE
1900136	Epiphile electra Staudinger, 1886	1900136	Epiphile electra Staudinger, 1886	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Epiphile	1900111	Epiphile electra	1900136	NE
